ID,Gender,Status,Children,Est_Income,Age,MARITAL STATUS,BUYER CATEGORY,LTV,DEMOGRAPHIC CLUSTER,ONLINE BEHAVIOR CLUSTER,BUYING BEHAVIOR CLUSTER,Retailer country,Retailer type,Product line,Product type,Product,Year,Quarter,Gross margin,State
120,F,M,2,62061.8,45.92,S,Product Viewer,MEDIUM VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Golf Shop,Golf Equipment,Irons,Hailstorm Steel Irons,2021,Q1 2021,0.44039771,Oregon
121,F,M,1,20550.9,22.12,M,Product Viewer,MEDIUM VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Golf Shop,Golf Equipment,Irons,Hailstorm Titanium Irons,2021,Q1 2021,0.43751289,Oregon
124,M,M,2,1765.41,18.766667,M,Product Viewer,HIGH VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Golf Shop,Golf Equipment,Irons,Lady Hailstorm Steel Irons,2021,Q1 2021,0.44535634,Arizona
127,F,S,2,19131.1,56.186667,U,Product Viewer,LOW VALUE,MARRIED WOMEN,PROBABLE BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Golf Shop,Golf Equipment,Irons,Lady Hailstorm Titanium Irons,2021,Q1 2021,0.44955007,California
130,F,S,2,83073.7,39.553333,S,Product Viewer,LOW VALUE,HIGH INCOME SINGLE,PROBABLE BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Golf Shop,Golf Equipment,Woods,Hailstorm Titanium Woods Set,2021,Q1 2021,0.42250716,Oregon
133,M,M,2,42750.3,50.493333,M,Product Viewer,HIGH VALUE,MARRIED WOMEN,PROBABLE BUYER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Golf Shop,Golf Equipment,Woods,Hailstorm Steel Woods Set,2021,Q1 2021,0.50056886,California
135,F,S,2,2842.55,45.92,M,Product Viewer,LOW VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Golf Shop,Golf Equipment,Woods,Lady Hailstorm Titanium Woods Set,2021,Q1 2021,0.48311609,Arizona
136,M,M,2,22358.1,52.626667,M,Product Viewer,LOW VALUE,MARRIED MEN,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Golf Shop,Golf Equipment,Woods,Lady Hailstorm Steel Woods Set,2021,Q1 2021,0.44845066,Washington
138,M,M,0,47870.8,27.26,M,Product Viewer,MEDIUM VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Golf Shop,Golf Equipment,Putters,Course Pro Putter,2021,Q1 2021,0.51695502,Oregon
139,F,S,2,6440.46,52.646667,M,Product Viewer,LOW VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Golf Shop,Golf Equipment,Putters,Blue Steel Putter,2021,Q1 2021,0.51310308,Arizona
140,F,S,0,7325.5,36.92,S,Product Viewer,LOW VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Golf Shop,Golf Equipment,Putters,Blue Steel Max Putter,2021,Q1 2021,0.45933212,Oregon
142,M,M,2,28766.9,46.84,M,Product Viewer,MEDIUM VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Golf Shop,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,2021,Q1 2021,0.71901566,California
148,M,M,2,91272.2,25.033333,M,Product Viewer,LOW VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Golf Shop,Golf Equipment,Golf Accessories,Course Pro Umbrella,2021,Q1 2021,0.50059634,Oregon
154,M,S,0,65000.0,45.653333,S,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Golf Shop,Golf Equipment,Golf Accessories,Course Pro Golf Bag,2021,Q1 2021,0.61130484,Oregon
158,M,M,2,1406.05,19.306667,M,Product Viewer,LOW VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Golf Shop,Golf Equipment,Golf Accessories,Course Pro Gloves,2021,Q1 2021,0.63399209,Oregon
304,M,M,1,75799.9,46.38,S,Product Viewer,LOW VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Golf Equipment,Irons,Hailstorm Steel Irons,2021,Q1 2021,0.3918035,Washington
305,F,S,2,15688.5,53.06,U,Product Viewer,LOW VALUE,HIGH INCOME FAMILY,PROBABLE BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Golf Equipment,Irons,Lady Hailstorm Steel Irons,2021,Q1 2021,0.44535634,Arizona
306,F,S,0,43382.3,16.073333,S,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Golf Equipment,Woods,Hailstorm Steel Woods Set,2021,Q1 2021,0.50290839,Arizona
308,F,S,0,5185.31,62.053333,S,Product Viewer,LOW VALUE,HIGH INCOME SINGLE,PROBABLE BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Golf Equipment,Woods,Lady Hailstorm Steel Woods Set,2021,Q1 2021,0.44845066,California
309,F,S,0,41000.0,16.06,S,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SINGLE,PROBABLE BUYER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Department Store,Golf Equipment,Putters,Course Pro Putter,2021,Q1 2021,0.51695502,California
